seed = 2026
backbone = resnet50

========== StageA | label_map={'empty': 0, 'low': 1, 'medium': 1, 'high': 1} ==========
num_classes=2 | train n=609 | val n=130
class counts (idx -> n):  {0: 224, 1: 385}
class weights (idx -> w): {0: 1.359, 1: 0.791}

-- StageA | warmup (fc only) --
[StageA.warmup] ep  1/8  train loss=0.681 acc=0.581  val acc=0.661  best=0.662  lr=1.0e-04
[StageA.warmup] ep  2/8  train loss=0.643 acc=0.670  val acc=0.723  best=0.723  lr=1.0e-04
[StageA.warmup] ep  3/8  train loss=0.611 acc=0.755  val acc=0.761  best=0.762  lr=1.0e-04
[StageA.warmup] ep  4/8  train loss=0.590 acc=0.736  val acc=0.761  best=0.762  lr=1.0e-04
[StageA.warmup] ep  5/8  train loss=0.563 acc=0.782  val acc=0.769  best=0.769  lr=1.0e-04
[StageA.warmup] ep  6/8  train loss=0.553 acc=0.785  val acc=0.792  best=0.792  lr=1.0e-04
[StageA.warmup] ep  7/8  train loss=0.540 acc=0.786  val acc=0.777  best=0.792  lr=1.0e-04
[StageA.warmup] ep  8/8  train loss=0.517 acc=0.801  val acc=0.777  best=0.792  lr=1.0e-04

-- StageA | finetune (all params) --
[StageA.finetune] ep  1/60  train loss=0.497 acc=0.786  val acc=0.839  best=0.838  lr=1.0e-05
[StageA.finetune] ep  2/60  train loss=0.437 acc=0.828  val acc=0.854  best=0.854  lr=1.0e-05
[StageA.finetune] ep  3/60  train loss=0.397 acc=0.854  val acc=0.877  best=0.877  lr=1.0e-05
[StageA.finetune] ep  4/60  train loss=0.346 acc=0.898  val acc=0.892  best=0.892  lr=9.9e-06
[StageA.finetune] ep  5/60  train loss=0.310 acc=0.910  val acc=0.900  best=0.900  lr=9.9e-06
[StageA.finetune] ep  6/60  train loss=0.263 acc=0.938  val acc=0.892  best=0.900  lr=9.8e-06
[StageA.finetune] ep  7/60  train loss=0.239 acc=0.939  val acc=0.915  best=0.915  lr=9.8e-06
[StageA.finetune] ep  8/60  train loss=0.204 acc=0.969  val acc=0.915  best=0.915  lr=9.7e-06
[StageA.finetune] ep  9/60  train loss=0.182 acc=0.964  val acc=0.908  best=0.915  lr=9.6e-06
[StageA.finetune] ep 10/60  train loss=0.149 acc=0.979  val acc=0.915  best=0.915  lr=9.5e-06
