image,json,label,raw_label,split
007.jpg,007.json,empty,bottle_low,train
106.jpeg,106.json,empty,bottle_empty,train
111.jpeg,111.json,empty,bottle_empty,train
114.jpg,114.json,empty,bottle_empty,train
115.jpeg,115.json,empty,bottle_empty,train
144.jpg,144.json,empty,bottle_empty,train
146.jpg,146.json,empty,bottle_empty,train
149.jpg,149.json,empty,bottle_empty,train
158.jpg,158.json,empty,bottle_empty,train
160.jpg,160.json,empty,bottle_empty,train
179.jpg,179.json,empty,bottle_empty,train
183.jpg,183.json,empty,bottle_empty,train
185.jpg,185.json,empty,bottle_empty,train
187.jpeg,187.json,empty,bottle_empty,train
188.jpg,188.json,empty,bottle_empty,train
200.jpg,200.json,empty,bottle_empty,train
202.jpg,202.json,empty,bottle_empty,train
206.jpg,206.json,empty,bottle_empty,train
207.jpg,207.json,empty,bottle_empty,train
210.jpg,210.json,empty,bottle_empty,train
211.png,211.json,empty,bottle_empty,train
219.jpg,219.json,empty,bottle_low,train
231.jpg,231.json,empty,bottle_empty,train
240.jpg,240.json,empty,bottle_empty,train
241.jpg,241.json,empty,bottle_empty,train
249.jpg,249.json,empty,bottle_empty,train
259.jpg,259.json,empty,bottle_empty,train
261.jpg,261.json,empty,bottle_empty,train
263.jpg,263.json,empty,bottle_empty,train
284.jpg,284.json,empty,bottle_empty,train
293.jpg,293.json,empty,bottle_empty,train
294.jpg,294.json,empty,bottle_empty,train
297.jpg,297.json,empty,bottle_empty,train
300.jpg,300.json,empty,bottle_empty,train
3002.jpg,3002.json,empty,bottle_empty,train
3004.jpg,3004.json,empty,bottle_empty,train
3008.jpg,3008.json,empty,bottle_empty,train
3009.jpg,3009.json,empty,bottle_empty,train
3010.jpg,3010.json,empty,bottle_empty,train
3013.jpg,3013.json,empty,bottle_empty,train
3014.jpg,3014.json,empty,bottle_empty,train
3015.jpg,3015.json,empty,bottle_empty,train
3016.jpg,3016.json,empty,bottle_empty,train
3019.jpg,3019.json,empty,bottle_empty,train
3020.jpg,3020.json,empty,bottle_empty,train
3021.jpg,3021.json,empty,bottle_empty,train
303.jpg,303.json,empty,bottle_empty,train
3038.jpg,3038.json,empty,bottle_empty,train
3039.jpg,3039.json,empty,bottle_empty,train
3040.jpg,3040.json,empty,bottle_empty,train
3041.jpg,3041.json,empty,bottle_empty,train
3046.jpg,3046.json,empty,bottle_empty,train
3048.jpg,3048.json,empty,bottle_empty,train
3049.jpg,3049.json,empty,bottle_empty,train
305.jpg,305.json,empty,bottle_empty,train
3058.jpg,3058.json,empty,bottle_empty,train
3061.jpg,3061.json,empty,bottle_empty,train
3067.jpg,3067.json,empty,bottle_empty,train
3069.jpg,3069.json,empty,bottle_empty,train
307.jpg,307.json,empty,bottle_empty,train
3073.jpg,3073.json,empty,bottle_empty,train
3076.jpg,3076.json,empty,bottle_empty,train
3077.jpg,3077.json,empty,bottle_empty,train
3079.jpg,3079.json,empty,bottle_empty,train
308.jpg,308.json,empty,bottle_empty,train
3093.jpg,3093.json,empty,bottle_empty,train
3099.jpg,3099.json,empty,bottle_empty,train
3109.jpg,3109.json,empty,bottle_empty,train
3110.jpg,3110.json,empty,bottle_empty,train
3111.jpg,3111.json,empty,bottle_empty,train
3112.jpg,3112.json,empty,bottle_empty,train
3114.jpg,3114.json,empty,bottle_empty,train
3115.jpg,3115.json,empty,bottle_empty,train
3119.jpg,3119.json,empty,bottle_empty,train
3120.jpg,3120.json,empty,bottle_empty,train
3135.jpg,3135.json,empty,bottle_empty,train
3138.jpg,3138.json,empty,bottle_empty,train
3139.jpg,3139.json,empty,bottle_empty,train
314.jpg,314.json,empty,bottle_empty,train
3140.jpg,3140.json,empty,bottle_empty,train
3141.jpg,3141.json,empty,bottle_empty,train
3143.jpg,3143.json,empty,bottle_empty,train
3144.jpg,3144.json,empty,bottle_empty,train
3145.jpg,3145.json,empty,bottle_empty,train
3146.jpg,3146.json,empty,bottle_empty,train
3147.jpg,3147.json,empty,bottle_empty,train
3148.jpg,3148.json,empty,bottle_empty,train
3149.jpg,3149.json,empty,bottle_empty,train
3150.png,3150.json,empty,bottle_empty,train
3151.png,3151.json,empty,bottle_empty,train
3154.png,3154.json,empty,bottle_empty,train
3156.jpg,3156.json,empty,bottle_empty,train
3157.jpg,3157.json,empty,bottle_empty,train
3161.jpg,3161.json,empty,bottle_empty,train
3167.jpg,3167.json,empty,bottle_empty,train
317.jpg,317.json,empty,bottle_high,train
3171.jpg,3171.json,empty,bottle_empty,train
3172.jpg,3172.json,empty,bottle_empty,train
3174.jpg,3174.json,empty,bottle_empty,train
3177.jpg,3177.json,empty,bottle_empty,train
