stage,epoch,phase,loss,acc,lr
StageA.warmup,1,train,0.6828,0.5417,0.0001
StageA.warmup,1,val,0.6434,0.7826,0.0001
StageA.warmup,2,train,0.6373,0.7299,0.0001
StageA.warmup,2,val,0.6048,0.7971,0.0001
StageA.warmup,3,train,0.6107,0.7685,0.0001
StageA.warmup,3,val,0.5755,0.7971,0.0001
StageA.warmup,4,train,0.5815,0.7778,0.0001
StageA.warmup,4,val,0.56,0.7971,0.0001
StageA.warmup,5,train,0.5583,0.7762,0.0001
StageA.warmup,5,val,0.5355,0.8188,0.0001
StageA.warmup,6,train,0.5438,0.7855,0.0001
StageA.warmup,6,val,0.5241,0.8333,0.0001
StageA.warmup,7,train,0.5273,0.7824,0.0001
StageA.warmup,7,val,0.5058,0.8261,0.0001
StageA.warmup,8,train,0.5142,0.8009,0.0001
StageA.warmup,8,val,0.4948,0.8333,0.0001
StageA.finetune,1,train,0.4893,0.8009,1e-05
StageA.finetune,1,val,0.4474,0.8406,1e-05
StageA.finetune,2,train,0.4404,0.8302,9.993147673772869e-06
StageA.finetune,2,val,0.4195,0.8623,9.993147673772869e-06
StageA.finetune,3,train,0.3763,0.8627,9.972609476841366e-06
StageA.finetune,3,val,0.3789,0.8768,9.972609476841366e-06
StageA.finetune,4,train,0.3333,0.9136,9.938441702975689e-06
StageA.finetune,4,val,0.3485,0.8696,9.938441702975689e-06
StageA.finetune,5,train,0.2876,0.9136,9.890738003669029e-06
StageA.finetune,5,val,0.3215,0.8841,9.890738003669029e-06
StageA.finetune,6,train,0.2531,0.9383,9.829629131445342e-06
StageA.finetune,6,val,0.2957,0.8841,9.829629131445342e-06
StageA.finetune,7,train,0.2124,0.9537,9.755282581475769e-06
StageA.finetune,7,val,0.2792,0.8768,9.755282581475769e-06
StageA.finetune,8,train,0.1818,0.9676,9.667902132486009e-06
StageA.finetune,8,val,0.2712,0.8696,9.667902132486009e-06
StageA.finetune,9,train,0.1532,0.9722,9.567727288213005e-06
StageA.finetune,9,val,0.2491,0.8841,9.567727288213005e-06
StageA.finetune,10,train,0.1346,0.9799,9.45503262094184e-06
StageA.finetune,10,val,0.2445,0.8913,9.45503262094184e-06
StageA.finetune,11,train,0.1226,0.9784,9.330127018922195e-06
StageA.finetune,11,val,0.2448,0.8768,9.330127018922195e-06
StageA.finetune,12,train,0.086,0.9923,9.193352839727122e-06
StageA.finetune,12,val,0.2408,0.8913,9.193352839727122e-06
StageA.finetune,13,train,0.0829,0.9877,9.045084971874738e-06
StageA.finetune,13,val,0.241,0.8913,9.045084971874738e-06
StageA.finetune,14,train,0.0736,0.9907,8.885729807284857e-06
StageA.finetune,14,val,0.2264,0.913,8.885729807284857e-06
