image,split,label,source
001.jpg,train,medium,relabel
002.png,train,medium,relabel
004.jpg,train,low,relabel
005.png,test,medium,relabel
006.jpg,val,medium,relabel
007.jpg,train,empty,relabel
008.jpg,train,medium,relabel
010.jpg,test,medium,relabel
011.jpg,train,medium,relabel
012.jpg,train,medium,relabel
013.jpg,train,medium,relabel
016.jpg,test,medium,relabel
017.jpg,train,medium,relabel
018.jpg,train,low,relabel
019.jpg,train,medium,relabel
020.jpg,train,medium,relabel
021.jpg,val,medium,relabel
022.jpg,train,medium,relabel
023.jpg,train,medium,relabel
024.jpg,test,medium,relabel
025.jpg,train,low,relabel
026.jpg,train,low,relabel
027.jpg,val,low,relabel
028.jpg,test,low,relabel
029.jpg,train,medium,relabel
030.jpg,test,medium,relabel
032.jpg,test,medium,relabel
033.jpg,val,medium,relabel
034.jpg,train,medium,relabel
035.jpg,val,medium,relabel
036.jpg,train,medium,relabel
037.jpg,train,medium,relabel
038.jpg,train,medium,relabel
039.jpg,test,medium,relabel
040.jpg,train,medium,relabel
041.jpg,test,medium,relabel
042.jpg,train,medium,relabel
043.jpg,val,medium,relabel
044.jpg,val,medium,relabel
045.jpg,train,medium,relabel
046.jpg,train,medium,relabel
047.jpg,train,medium,relabel
048.jpg,train,low,relabel
049.jpg,train,medium,relabel
051.jpg,train,medium,relabel
052.jpg,train,medium,relabel
053.jpg,test,medium,relabel
054.jpg,test,medium,relabel
055.jpg,train,medium,relabel
056.jpg,train,medium,relabel
057.jpg,val,medium,relabel
058.jpg,train,medium,relabel
059.jpg,train,medium,relabel
060.jpg,test,medium,relabel
061.jpg,test,medium,relabel
062.jpg,train,medium,relabel
063.jpg,train,low,relabel
064.jpg,train,medium,relabel
065.jpg,train,medium,relabel
066.jpg,train,medium,relabel
067.jpg,train,low,relabel
068.jpg,train,medium,relabel
069.jpg,train,low,relabel
070.jpg,test,low,relabel
071.jpg,val,medium,relabel
072.jpg,train,low,relabel
074.jpg,train,low,relabel
075.jpg,train,medium,relabel
076.jpg,train,low,relabel
077.jpg,train,medium,relabel
079.jpg,train,low,relabel
080.jpg,test,low,relabel
081.jpg,test,medium,relabel
082.jpg,train,medium,relabel
083.jpg,val,low,relabel
084.jpg,train,medium,relabel
085.jpg,train,low,relabel
086.jpg,train,low,relabel
089.jpg,train,medium,relabel
090.jpg,train,low,relabel
091.jpg,train,medium,relabel
092.jpg,train,medium,relabel
093.jpg,train,medium,relabel
094.jpg,train,medium,relabel
096.jpg,train,medium,relabel
098.jpg,val,low,relabel
099.jpg,train,medium,relabel
100.jpg,train,medium,relabel
1001.png,train,low,relabel
1006.jpg,train,low,relabel
1008.jpg,train,low,relabel
101.jpg,train,medium,relabel
1014.jpg,train,medium,relabel
1015.jpg,train,medium,relabel
1016.jpg,train,medium,relabel
1017.jpg,test,medium,relabel
1018.jpg,val,medium,relabel
1019.jpg,train,medium,relabel
102.jpg,train,high,relabel
1020.jpg,train,medium,relabel
1021.jpg,test,medium,relabel
