stage,epoch,phase,loss,acc,lr
StageA.warmup,1,train,0.7095,0.4647,0.0001
StageA.warmup,1,val,0.6914,0.5,0.0001
StageA.warmup,2,train,0.6699,0.5731,0.0001
StageA.warmup,2,val,0.667,0.5769,0.0001
StageA.warmup,3,train,0.6426,0.6732,0.0001
StageA.warmup,3,val,0.634,0.6692,0.0001
StageA.warmup,4,train,0.612,0.7241,0.0001
StageA.warmup,4,val,0.6185,0.6846,0.0001
StageA.warmup,5,train,0.6019,0.711,0.0001
StageA.warmup,5,val,0.612,0.6385,0.0001
StageA.warmup,6,train,0.5819,0.7619,0.0001
StageA.warmup,6,val,0.5954,0.6769,0.0001
StageA.warmup,7,train,0.5663,0.7668,0.0001
StageA.warmup,7,val,0.5789,0.7077,0.0001
StageA.warmup,8,train,0.5658,0.7619,0.0001
StageA.warmup,8,val,0.5686,0.7462,0.0001
StageA.finetune,1,train,0.5323,0.7767,1e-05
StageA.finetune,1,val,0.5298,0.7692,1e-05
StageA.finetune,2,train,0.4666,0.8194,9.993147673772869e-06
StageA.finetune,2,val,0.4848,0.8154,9.993147673772869e-06
StageA.finetune,3,train,0.4077,0.8621,9.972609476841366e-06
StageA.finetune,3,val,0.4191,0.8615,9.972609476841366e-06
StageA.finetune,4,train,0.3524,0.89,9.938441702975689e-06
StageA.finetune,4,val,0.3708,0.8615,9.938441702975689e-06
StageA.finetune,5,train,0.3075,0.9163,9.890738003669029e-06
StageA.finetune,5,val,0.3328,0.8923,9.890738003669029e-06
StageA.finetune,6,train,0.2595,0.9425,9.829629131445342e-06
StageA.finetune,6,val,0.294,0.8846,9.829629131445342e-06
StageA.finetune,7,train,0.2401,0.9343,9.755282581475769e-06
StageA.finetune,7,val,0.283,0.9,9.755282581475769e-06
StageA.finetune,8,train,0.1949,0.9475,9.667902132486009e-06
StageA.finetune,8,val,0.2532,0.8923,9.667902132486009e-06
StageA.finetune,9,train,0.1627,0.9655,9.567727288213005e-06
StageA.finetune,9,val,0.2311,0.9231,9.567727288213005e-06
StageA.finetune,10,train,0.1422,0.9688,9.45503262094184e-06
StageA.finetune,10,val,0.2194,0.9154,9.45503262094184e-06
StageA.finetune,11,train,0.1264,0.9672,9.330127018922195e-06
StageA.finetune,11,val,0.2013,0.9308,9.330127018922195e-06
StageA.finetune,12,train,0.1069,0.9836,9.193352839727122e-06
StageA.finetune,12,val,0.1992,0.9231,9.193352839727122e-06
StageA.finetune,13,train,0.0979,0.9754,9.045084971874738e-06
StageA.finetune,13,val,0.1874,0.9308,9.045084971874738e-06
StageA.finetune,14,train,0.0836,0.9852,8.885729807284857e-06
StageA.finetune,14,val,0.1699,0.9308,8.885729807284857e-06
StageA.finetune,15,train,0.0755,0.9852,8.715724127386973e-06
StageA.finetune,15,val,0.1599,0.9462,8.715724127386973e-06
StageA.finetune,16,train,0.0746,0.9901,8.53553390593274e-06
StageA.finetune,16,val,0.156,0.9538,8.53553390593274e-06
StageA.finetune,17,train,0.0502,0.9951,8.345653031794293e-06
StageA.finetune,17,val,0.1559,0.9231,8.345653031794293e-06
StageA.finetune,18,train,0.0685,0.9901,8.146601955249189e-06
StageA.finetune,18,val,0.1697,0.9308,8.146601955249189e-06
StageA.finetune,19,train,0.0638,0.9852,7.938926261462366e-06
StageA.finetune,19,val,0.1669,0.9231,7.938926261462366e-06
StageA.finetune,20,train,0.0388,0.9934,7.723195175075136e-06
StageA.finetune,20,val,0.1567,0.9385,7.723195175075136e-06
StageA.finetune,21,train,0.0436,0.9918,7.5e-06
StageA.finetune,21,val,0.1563,0.9538,7.5e-06
StageA.finetune,22,train,0.0397,0.9934,7.269952498697734e-06
StageA.finetune,22,val,0.1444,0.9538,7.269952498697734e-06
StageA.finetune,23,train,0.0448,0.9901,7.033683215379002e-06
StageA.finetune,23,val,0.1441,0.9538,7.033683215379002e-06
StageA.finetune,24,train,0.0316,0.9967,6.791839747726503e-06
StageA.finetune,24,val,0.145,0.9462,6.791839747726503e-06
StageA.finetune,25,train,0.0394,0.9934,6.545084971874738e-06
StageA.finetune,25,val,0.1435,0.9538,6.545084971874738e-06
StageA.finetune,26,train,0.033,0.9984,6.294095225512604e-06
StageA.finetune,26,val,0.1342,0.9615,6.294095225512604e-06
StageA.finetune,27,train,0.0366,0.9918,6.039558454088796e-06
StageA.finetune,27,val,0.1424,0.9385,6.039558454088796e-06
StageA.finetune,28,train,0.0336,0.9901,5.782172325201155e-06
StageA.finetune,28,val,0.164,0.9385,5.782172325201155e-06
StageA.finetune,29,train,0.0241,1.0,5.522642316338268e-06
StageA.finetune,29,val,0.1389,0.9462,5.522642316338268e-06
StageA.finetune,30,train,0.0311,0.9951,5.261679781214719e-06
StageA.finetune,30,val,0.1383,0.9615,5.261679781214719e-06
StageA.finetune,31,train,0.028,0.9918,5.000000000000001e-06
StageA.finetune,31,val,0.1252,0.9615,5.000000000000001e-06
StageA.finetune,32,train,0.0401,0.9885,4.738320218785282e-06
StageA.finetune,32,val,0.1354,0.9462,4.738320218785282e-06
StageA.finetune,33,train,0.0301,0.9918,4.477357683661734e-06
StageA.finetune,33,val,0.1683,0.9385,4.477357683661734e-06
StageA.finetune,34,train,0.0263,0.9984,4.217827674798846e-06
StageA.finetune,34,val,0.1356,0.9462,4.217827674798846e-06
StageA.finetune,35,train,0.0219,0.9951,3.960441545911203e-06
StageA.finetune,35,val,0.1529,0.9462,3.960441545911203e-06
StageA.finetune,36,train,0.0235,0.9967,3.705904774487397e-06
StageA.finetune,36,val,0.1578,0.9462,3.705904774487397e-06
StageA.finetune,37,train,0.02,0.9984,3.454915028125263e-06
StageA.finetune,37,val,0.1306,0.9538,3.454915028125263e-06
StageA.finetune,38,train,0.0213,0.9967,3.2081602522734987e-06
StageA.finetune,38,val,0.1462,0.9615,3.2081602522734987e-06
StageA.finetune,39,train,0.0197,1.0,2.966316784620999e-06
StageA.finetune,39,val,0.1309,0.9538,2.966316784620999e-06
StageA.finetune,40,train,0.0213,0.9984,2.730047501302266e-06
StageA.finetune,40,val,0.135,0.9462,2.730047501302266e-06
StageA.finetune,41,train,0.0169,0.9967,2.500000000000001e-06
StageA.finetune,41,val,0.1451,0.9462,2.500000000000001e-06
StageA.finetune,42,train,0.0219,0.9934,2.276804824924866e-06
StageA.finetune,42,val,0.1778,0.9385,2.276804824924866e-06
StageA.finetune,43,train,0.016,0.9967,2.061073738537635e-06
StageA.finetune,43,val,0.1431,0.9615,2.061073738537635e-06
StageA.finetune,44,train,0.0162,0.9967,1.8533980447508138e-06
StageA.finetune,44,val,0.1474,0.9615,1.8533980447508138e-06
StageA.finetune,45,train,0.0205,0.9967,1.6543469682057107e-06
StageA.finetune,45,val,0.1323,0.9462,1.6543469682057107e-06
StageA.finetune,46,train,0.0148,1.0,1.4644660940672628e-06
StageA.finetune,46,val,0.1418,0.9538,1.4644660940672628e-06
StageA.finetune,47,train,0.0183,0.9984,1.2842758726130296e-06
StageA.finetune,47,val,0.1494,0.9538,1.2842758726130296e-06
StageA.finetune,48,train,0.0149,0.9984,1.1142701927151456e-06
StageA.finetune,48,val,0.1378,0.9538,1.1142701927151456e-06
StageA.finetune,49,train,0.0144,1.0,9.549150281252633e-07
StageA.finetune,49,val,0.1338,0.9538,9.549150281252633e-07
StageA.finetune,50,train,0.0145,1.0,8.066471602728802e-07
StageA.finetune,50,val,0.1377,0.9462,8.066471602728802e-07
StageA.finetune,51,train,0.0226,0.9951,6.698729810778064e-07
StageA.finetune,51,val,0.1423,0.9538,6.698729810778064e-07
StageA.finetune,52,train,0.0148,1.0,5.44967379058161e-07
StageA.finetune,52,val,0.1477,0.9538,5.44967379058161e-07
StageA.finetune,53,train,0.0159,1.0,4.3227271178699507e-07
StageA.finetune,53,val,0.151,0.9538,4.3227271178699507e-07
StageA.finetune,54,train,0.0128,0.9984,3.3209786751399125e-07
StageA.finetune,54,val,0.124,0.9538,3.3209786751399125e-07
StageA.finetune,55,train,0.0173,0.9951,2.4471741852423233e-07
StageA.finetune,55,val,0.1493,0.9538,2.4471741852423233e-07
StageA.finetune,56,train,0.0218,0.9967,1.7037086855465844e-07
StageA.finetune,56,val,0.141,0.9462,1.7037086855465844e-07
StageA.finetune,57,train,0.0151,0.9984,1.0926199633097156e-07
StageA.finetune,57,val,0.1373,0.9615,1.0926199633097156e-07
StageA.finetune,58,train,0.0131,1.0,6.15582970243117e-08
