stage,epoch,phase,loss,acc,lr
StageA.warmup,1,train,0.6865,0.5205,0.0001
StageA.warmup,1,val,0.6539,0.6769,0.0001
StageA.warmup,2,train,0.6439,0.6617,0.0001
StageA.warmup,2,val,0.6243,0.7538,0.0001
StageA.warmup,3,train,0.6199,0.6995,0.0001
StageA.warmup,3,val,0.6038,0.7615,0.0001
StageA.warmup,4,train,0.6001,0.7406,0.0001
StageA.warmup,4,val,0.5892,0.8077,0.0001
StageA.warmup,5,train,0.5754,0.7553,0.0001
StageA.warmup,5,val,0.5751,0.7846,0.0001
StageA.warmup,6,train,0.5527,0.7586,0.0001
StageA.warmup,6,val,0.5692,0.7692,0.0001
StageA.warmup,7,train,0.5553,0.7603,0.0001
StageA.warmup,7,val,0.5469,0.7923,0.0001
StageA.warmup,8,train,0.5217,0.7685,0.0001
StageA.warmup,8,val,0.5446,0.7923,0.0001
StageA.finetune,1,train,0.5123,0.7882,1e-05
StageA.finetune,1,val,0.5142,0.8308,1e-05
StageA.finetune,2,train,0.4619,0.8243,9.993147673772869e-06
StageA.finetune,2,val,0.4497,0.8615,9.993147673772869e-06
StageA.finetune,3,train,0.4092,0.8555,9.972609476841366e-06
StageA.finetune,3,val,0.4261,0.8385,9.972609476841366e-06
StageA.finetune,4,train,0.378,0.8818,9.938441702975689e-06
StageA.finetune,4,val,0.3898,0.9,9.938441702975689e-06
StageA.finetune,5,train,0.3246,0.9195,9.890738003669029e-06
StageA.finetune,5,val,0.3677,0.8692,9.890738003669029e-06
StageA.finetune,6,train,0.2814,0.9261,9.829629131445342e-06
StageA.finetune,6,val,0.337,0.8846,9.829629131445342e-06
StageA.finetune,7,train,0.2692,0.9278,9.755282581475769e-06
StageA.finetune,7,val,0.2919,0.9154,9.755282581475769e-06
StageA.finetune,8,train,0.2179,0.9507,9.667902132486009e-06
StageA.finetune,8,val,0.2833,0.9154,9.667902132486009e-06
StageA.finetune,9,train,0.1899,0.9524,9.567727288213005e-06
StageA.finetune,9,val,0.2614,0.9,9.567727288213005e-06
StageA.finetune,10,train,0.1602,0.9721,9.45503262094184e-06
StageA.finetune,10,val,0.2328,0.9154,9.45503262094184e-06
StageA.finetune,11,train,0.1416,0.9737,9.330127018922195e-06
StageA.finetune,11,val,0.2142,0.9308,9.330127018922195e-06
StageA.finetune,12,train,0.1103,0.9819,9.193352839727122e-06
StageA.finetune,12,val,0.1962,0.9308,9.193352839727122e-06
StageA.finetune,13,train,0.1113,0.977,9.045084971874738e-06
StageA.finetune,13,val,0.1947,0.9385,9.045084971874738e-06
StageA.finetune,14,train,0.0992,0.9836,8.885729807284857e-06
StageA.finetune,14,val,0.1733,0.9385,8.885729807284857e-06
StageA.finetune,15,train,0.0995,0.9754,8.715724127386973e-06
StageA.finetune,15,val,0.1783,0.9308,8.715724127386973e-06
StageA.finetune,16,train,0.0947,0.9819,8.53553390593274e-06
StageA.finetune,16,val,0.1681,0.9462,8.53553390593274e-06
StageA.finetune,17,train,0.0732,0.9852,8.345653031794293e-06
StageA.finetune,17,val,0.155,0.9462,8.345653031794293e-06
StageA.finetune,18,train,0.0886,0.977,8.146601955249189e-06
StageA.finetune,18,val,0.1612,0.9385,8.146601955249189e-06
StageA.finetune,19,train,0.066,0.9869,7.938926261462366e-06
StageA.finetune,19,val,0.1684,0.9462,7.938926261462366e-06
StageA.finetune,20,train,0.0664,0.977,7.723195175075136e-06
StageA.finetune,20,val,0.1513,0.9538,7.723195175075136e-06
StageA.finetune,21,train,0.0551,0.9901,7.5e-06
StageA.finetune,21,val,0.14,0.9615,7.5e-06
StageA.finetune,22,train,0.0628,0.9852,7.269952498697734e-06
StageA.finetune,22,val,0.1601,0.9462,7.269952498697734e-06
StageA.finetune,23,train,0.0536,0.9885,7.033683215379002e-06
StageA.finetune,23,val,0.1619,0.9462,7.033683215379002e-06
StageA.finetune,24,train,0.0383,0.9918,6.791839747726503e-06
StageA.finetune,24,val,0.1393,0.9538,6.791839747726503e-06
StageA.finetune,25,train,0.0503,0.9951,6.545084971874738e-06
StageA.finetune,25,val,0.141,0.9538,6.545084971874738e-06
StageA.finetune,26,train,0.0342,0.9984,6.294095225512604e-06
StageA.finetune,26,val,0.1348,0.9615,6.294095225512604e-06
StageA.finetune,27,train,0.0533,0.9885,6.039558454088796e-06
StageA.finetune,27,val,0.129,0.9538,6.039558454088796e-06
StageA.finetune,28,train,0.043,0.9934,5.782172325201155e-06
StageA.finetune,28,val,0.1138,0.9692,5.782172325201155e-06
StageA.finetune,29,train,0.04,0.9967,5.522642316338268e-06
StageA.finetune,29,val,0.1295,0.9615,5.522642316338268e-06
StageA.finetune,30,train,0.0332,0.9951,5.261679781214719e-06
StageA.finetune,30,val,0.1172,0.9692,5.261679781214719e-06
StageA.finetune,31,train,0.0335,0.9984,5.000000000000001e-06
StageA.finetune,31,val,0.1274,0.9615,5.000000000000001e-06
StageA.finetune,32,train,0.0371,0.9967,4.738320218785282e-06
StageA.finetune,32,val,0.1328,0.9538,4.738320218785282e-06
StageA.finetune,33,train,0.0396,0.9885,4.477357683661734e-06
StageA.finetune,33,val,0.1298,0.9462,4.477357683661734e-06
StageA.finetune,34,train,0.0273,0.9984,4.217827674798846e-06
StageA.finetune,34,val,0.1193,0.9692,4.217827674798846e-06
StageA.finetune,35,train,0.0333,0.9934,3.960441545911203e-06
StageA.finetune,35,val,0.1484,0.9462,3.960441545911203e-06
StageA.finetune,36,train,0.0456,0.9885,3.705904774487397e-06
StageA.finetune,36,val,0.1197,0.9615,3.705904774487397e-06
StageA.finetune,37,train,0.0234,0.9984,3.454915028125263e-06
StageA.finetune,37,val,0.1173,0.9538,3.454915028125263e-06
StageA.finetune,38,train,0.0281,0.9934,3.2081602522734987e-06
StageA.finetune,38,val,0.1402,0.9538,3.2081602522734987e-06
StageA.finetune,39,train,0.027,0.9951,2.966316784620999e-06
StageA.finetune,39,val,0.1292,0.9615,2.966316784620999e-06
StageA.finetune,40,train,0.0269,1.0,2.730047501302266e-06
StageA.finetune,40,val,0.1307,0.9692,2.730047501302266e-06
StageA.finetune,41,train,0.0396,0.9885,2.500000000000001e-06
StageA.finetune,41,val,0.134,0.9538,2.500000000000001e-06
StageA.finetune,42,train,0.0396,0.9901,2.276804824924866e-06
StageA.finetune,42,val,0.1167,0.9692,2.276804824924866e-06
StageA.finetune,43,train,0.0418,0.9918,2.061073738537635e-06
StageA.finetune,43,val,0.1083,0.9615,2.061073738537635e-06
StageA.finetune,44,train,0.0249,0.9951,1.8533980447508138e-06
StageA.finetune,44,val,0.1349,0.9538,1.8533980447508138e-06
StageA.finetune,45,train,0.024,0.9967,1.6543469682057107e-06
StageA.finetune,45,val,0.1226,0.9615,1.6543469682057107e-06
StageA.finetune,46,train,0.0283,1.0,1.4644660940672628e-06
StageA.finetune,46,val,0.1167,0.9615,1.4644660940672628e-06
StageA.finetune,47,train,0.0215,0.9984,1.2842758726130296e-06
StageA.finetune,47,val,0.1241,0.9538,1.2842758726130296e-06
StageA.finetune,48,train,0.0262,0.9918,1.1142701927151456e-06
StageA.finetune,48,val,0.1301,0.9538,1.1142701927151456e-06
StageA.finetune,49,train,0.0342,0.9918,9.549150281252633e-07
StageA.finetune,49,val,0.1194,0.9692,9.549150281252633e-07
StageA.finetune,50,train,0.0241,0.9967,8.066471602728802e-07
StageA.finetune,50,val,0.1015,0.9846,8.066471602728802e-07
StageA.finetune,51,train,0.0163,1.0,6.698729810778064e-07
StageA.finetune,51,val,0.1102,0.9692,6.698729810778064e-07
StageA.finetune,52,train,0.0217,1.0,5.44967379058161e-07
StageA.finetune,52,val,0.1102,0.9615,5.44967379058161e-07
StageA.finetune,53,train,0.0142,0.9984,4.3227271178699507e-07
StageA.finetune,53,val,0.1038,0.9769,4.3227271178699507e-07
StageA.finetune,54,train,0.0299,0.9951,3.3209786751399125e-07
StageA.finetune,54,val,0.1247,0.9538,3.3209786751399125e-07
StageA.finetune,55,train,0.0288,0.9967,2.4471741852423233e-07
StageA.finetune,55,val,0.1313,0.9538,2.4471741852423233e-07
StageA.finetune,56,train,0.0322,0.9951,1.7037086855465844e-07
StageA.finetune,56,val,0.1024,0.9769,1.7037086855465844e-07
StageA.finetune,57,train,0.0194,0.9984,1.0926199633097156e-07
StageA.finetune,57,val,0.1219,0.9538,1.0926199633097156e-07
StageA.finetune,58,train,0.0417,0.9918,6.15582970243117e-08
StageA.finetune,58,val,0.1408,0.9538,6.15582970243117e-08
StageA.finetune,59,train,0.0223,0.9984,2.7390523158632996e-08
StageA.finetune,59,val,0.1081,0.9692,2.7390523158632996e-08
StageA.finetune,60,train,0.0348,0.9934,6.852326227130835e-09
StageA.finetune,60,val,0.1151,0.9615,6.852326227130835e-09
StageB.warmup,1,train,1.0544,0.374,0.0001
StageB.warmup,1,val,1.1533,0.1951,0.0001
StageB.warmup,2,train,1.0132,0.3455,0.0001
StageB.warmup,2,val,1.1952,0.2195,0.0001
StageB.warmup,3,train,0.9772,0.3532,0.0001
StageB.warmup,3,val,1.1789,0.1829,0.0001
StageB.warmup,4,train,0.9384,0.3792,0.0001
StageB.warmup,4,val,1.1928,0.1829,0.0001
StageB.warmup,5,train,0.9633,0.3195,0.0001
StageB.warmup,5,val,1.1583,0.2317,0.0001
StageB.warmup,6,train,0.9082,0.4,0.0001
StageB.warmup,6,val,1.1696,0.2317,0.0001
StageB.warmup,7,train,0.929,0.3688,0.0001
StageB.warmup,7,val,1.1481,0.2317,0.0001
StageB.warmup,8,train,0.9292,0.3429,0.0001
StageB.warmup,8,val,1.1478,0.2561,0.0001
StageB.finetune,1,train,0.8725,0.4104,1e-05
StageB.finetune,1,val,1.0864,0.3171,1e-05
StageB.finetune,2,train,0.8501,0.4494,9.993147673772869e-06
StageB.finetune,2,val,1.0424,0.3902,9.993147673772869e-06
StageB.finetune,3,train,0.7881,0.5532,9.972609476841366e-06
StageB.finetune,3,val,1.005,0.5,9.972609476841366e-06
