resnet_w,efficientnet_w,split,method,acc,q1,q2,macro_f1,weighted_f1,empty_precision,empty_recall,empty_f1,empty_support,low_precision,low_recall,low_f1,low_support,medium_precision,medium_recall,medium_f1,medium_support,high_precision,high_recall,high_f1,high_support
1,1,val,hard,0.8615,0.9769,0.8171,0.7899,0.8629,1.0,0.9375,0.9677,48,1.0,0.4167,0.5882,12,0.5758,0.95,0.717,20,0.9149,0.86,0.8866,50
1,1,val,product,0.8615,0.9769,0.8049,0.7703,0.8586,0.9787,0.9583,0.9684,48,1.0,0.3333,0.5,12,0.5758,0.95,0.717,20,0.9348,0.86,0.8958,50
1,1,test,hard,0.8,0.9037,0.7558,0.6942,0.7855,0.86,0.8776,0.8687,49,1.0,0.2143,0.3529,14,0.5806,0.8571,0.6923,21,0.8627,0.8627,0.8627,51
1,1,test,product,0.8074,0.9111,0.7442,0.698,0.7907,0.8491,0.9184,0.8824,49,1.0,0.2143,0.3529,14,0.6071,0.8095,0.6939,21,0.8627,0.8627,0.8627,51
1,2,val,hard,0.8462,0.9692,0.8049,0.7594,0.8451,1.0,0.9167,0.9565,48,1.0,0.3333,0.5,12,0.5588,0.95,0.7037,20,0.8958,0.86,0.8776,50
1,2,val,product,0.8538,0.9769,0.7927,0.742,0.8473,0.9787,0.9583,0.9684,48,1.0,0.25,0.4,12,0.5588,0.95,0.7037,20,0.9348,0.86,0.8958,50
1,2,test,hard,0.8148,0.9259,0.7791,0.7015,0.8016,0.9149,0.8776,0.8958,49,0.75,0.2143,0.3333,14,0.5806,0.8571,0.6923,21,0.8679,0.902,0.8846,51
1,2,test,product,0.8222,0.9185,0.7558,0.7092,0.8043,0.8519,0.9388,0.8932,49,1.0,0.2143,0.3529,14,0.6296,0.8095,0.7083,21,0.8824,0.8824,0.8824,51
1,3,val,hard,0.8462,0.9692,0.8049,0.7594,0.8451,1.0,0.9167,0.9565,48,1.0,0.3333,0.5,12,0.5588,0.95,0.7037,20,0.8958,0.86,0.8776,50
1,3,val,product,0.8538,0.9769,0.7927,0.742,0.8473,0.9787,0.9583,0.9684,48,1.0,0.25,0.4,12,0.5588,0.95,0.7037,20,0.9348,0.86,0.8958,50
1,3,test,hard,0.8222,0.9333,0.7791,0.7065,0.809,0.9167,0.898,0.9072,49,0.75,0.2143,0.3333,14,0.5806,0.8571,0.6923,21,0.8846,0.902,0.8932,51
1,3,test,product,0.8222,0.9333,0.7558,0.7051,0.8065,0.8846,0.9388,0.9109,49,0.75,0.2143,0.3333,14,0.6071,0.8095,0.6939,21,0.8824,0.8824,0.8824,51
0.5,1,val,hard,0.8462,0.9692,0.8049,0.7594,0.8451,1.0,0.9167,0.9565,48,1.0,0.3333,0.5,12,0.5588,0.95,0.7037,20,0.8958,0.86,0.8776,50
0.5,1,val,product,0.8538,0.9769,0.7927,0.742,0.8473,0.9787,0.9583,0.9684,48,1.0,0.25,0.4,12,0.5588,0.95,0.7037,20,0.9348,0.86,0.8958,50
0.5,1,test,hard,0.8148,0.9259,0.7791,0.7015,0.8016,0.9149,0.8776,0.8958,49,0.75,0.2143,0.3333,14,0.5806,0.8571,0.6923,21,0.8679,0.902,0.8846,51
0.5,1,test,product,0.8222,0.9185,0.7558,0.7092,0.8043,0.8519,0.9388,0.8932,49,1.0,0.2143,0.3529,14,0.6296,0.8095,0.7083,21,0.8824,0.8824,0.8824,51
0.25,1,val,hard,0.8462,0.9692,0.8049,0.7594,0.8451,1.0,0.9167,0.9565,48,1.0,0.3333,0.5,12,0.5588,0.95,0.7037,20,0.8958,0.86,0.8776,50
0.25,1,val,product,0.8538,0.9769,0.7927,0.742,0.8473,0.9787,0.9583,0.9684,48,1.0,0.25,0.4,12,0.5588,0.95,0.7037,20,0.9348,0.86,0.8958,50
0.25,1,test,hard,0.8222,0.9333,0.7791,0.7078,0.8078,0.9167,0.898,0.9072,49,0.75,0.2143,0.3333,14,0.6,0.8571,0.7059,21,0.8679,0.902,0.8846,51
0.25,1,test,product,0.8222,0.9333,0.7558,0.7051,0.8065,0.8846,0.9388,0.9109,49,0.75,0.2143,0.3333,14,0.6071,0.8095,0.6939,21,0.8824,0.8824,0.8824,51
