stage,epoch,phase,loss,acc,lr
StageA.warmup,1,train,0.6734,0.6497,0.0001
StageA.warmup,1,val,0.645,0.7681,0.0001
StageA.warmup,2,train,0.634,0.7377,0.0001
StageA.warmup,2,val,0.6022,0.7826,0.0001
StageA.warmup,3,train,0.6043,0.7546,0.0001
StageA.warmup,3,val,0.574,0.7971,0.0001
StageA.warmup,4,train,0.5732,0.784,0.0001
StageA.warmup,4,val,0.5464,0.7899,0.0001
StageA.warmup,5,train,0.5539,0.7994,0.0001
StageA.warmup,5,val,0.5355,0.8188,0.0001
StageA.warmup,6,train,0.5365,0.784,0.0001
StageA.warmup,6,val,0.5111,0.8188,0.0001
StageA.warmup,7,train,0.5241,0.7994,0.0001
StageA.warmup,7,val,0.5027,0.8116,0.0001
StageA.warmup,8,train,0.5077,0.8056,0.0001
StageA.warmup,8,val,0.487,0.8188,0.0001
StageA.finetune,1,train,0.4846,0.8148,1e-05
StageA.finetune,1,val,0.4523,0.8261,1e-05
StageA.finetune,2,train,0.429,0.8503,9.993147673772869e-06
StageA.finetune,2,val,0.4122,0.8551,9.993147673772869e-06
StageA.finetune,3,train,0.3711,0.8935,9.972609476841366e-06
StageA.finetune,3,val,0.3736,0.8696,9.972609476841366e-06
StageA.finetune,4,train,0.329,0.909,9.938441702975689e-06
StageA.finetune,4,val,0.3476,0.8696,9.938441702975689e-06
StageA.finetune,5,train,0.2818,0.9352,9.890738003669029e-06
StageA.finetune,5,val,0.319,0.8913,9.890738003669029e-06
StageA.finetune,6,train,0.2425,0.9398,9.829629131445342e-06
StageA.finetune,6,val,0.2972,0.8841,9.829629131445342e-06
StageA.finetune,7,train,0.217,0.9599,9.755282581475769e-06
StageA.finetune,7,val,0.2811,0.8986,9.755282581475769e-06
StageA.finetune,8,train,0.1735,0.9691,9.667902132486009e-06
StageA.finetune,8,val,0.2582,0.8913,9.667902132486009e-06
StageA.finetune,9,train,0.1432,0.9691,9.567727288213005e-06
StageA.finetune,9,val,0.2538,0.9058,9.567727288213005e-06
StageA.finetune,10,train,0.1178,0.9877,9.45503262094184e-06
