image,new_label,note
001.jpg,medium,
002.png,medium,
003.jpg,invalid,
004.jpg,low,
005.png,medium,
006.jpg,medium,
007.jpg,empty,
008.jpg,medium,
009.jpg,invalid,
010.jpg,medium,
011.jpg,medium,
012.jpg,medium,
013.jpg,medium,
014.jpg,invalid,
015.jpg,invalid,
016.jpg,medium,
017.jpg,medium,
018.jpg,low,
019.jpg,medium,
020.jpg,medium,
021.jpg,medium,
022.jpg,medium,
023.jpg,medium,
024.jpg,medium,
025.jpg,low,
026.jpg,low,
027.jpg,low,
028.jpg,low,
029.jpg,medium,
030.jpg,medium,
031.jpg,invalid,final_review_invalid_or_ambiguous
032.jpg,medium,
033.jpg,medium,
034.jpg,medium,
035.jpg,medium,
036.jpg,medium,
037.jpg,medium,
038.jpg,medium,
039.jpg,medium,
040.jpg,medium,
041.jpg,medium,
042.jpg,medium,
043.jpg,medium,
044.jpg,medium,
045.jpg,medium,
046.jpg,medium,
047.jpg,medium,
048.jpg,low,
049.jpg,medium,
050.jpg,invalid,
051.jpg,medium,
052.jpg,medium,
053.jpg,medium,
054.jpg,medium,
055.jpg,medium,
056.jpg,medium,
057.jpg,medium,
058.jpg,medium,
059.jpg,medium,
060.jpg,medium,
061.jpg,medium,
062.jpg,medium,
063.jpg,low,
064.jpg,medium,
065.jpg,medium,
066.jpg,medium,
067.jpg,low,
068.jpg,medium,
069.jpg,low,
070.jpg,low,
071.jpg,medium,
072.jpg,low,
073.jpg,invalid,
074.jpg,low,
075.jpg,medium,
076.jpg,low,
077.jpg,medium,
078.jpg,invalid,
079.jpg,low,
080.jpg,low,
081.jpg,medium,
082.jpg,medium,
083.jpg,low,
084.jpg,medium,
085.jpg,low,
086.jpg,low,
087.jpg,invalid,
088.jpg,invalid,
089.jpg,medium,
090.jpg,low,
091.jpg,medium,
092.jpg,medium,
093.jpg,medium,
094.jpg,medium,
095.jpg,invalid,
096.jpg,medium,
097.jpg,invalid,
098.jpg,low,
099.jpg,medium,
100.jpg,medium,
1001.png,low,
1002.jpg,invalid,
1003.jpg,invalid,
1004.jpg,invalid,
1005.jpg,invalid,
1006.jpg,low,
1007.jpg,invalid,
1008.jpg,low,
1009.jpg,invalid,
101.jpg,medium,
1010.jpg,invalid,
1011.jpg,invalid,
1012.jpg,invalid,
1013.jpg,invalid,
1014.jpg,medium,
1015.jpg,medium,
1016.jpg,medium,
1017.jpg,medium,
1018.jpg,medium,
1019.jpg,medium,
102.jpg,high,
1020.jpg,medium,
1021.jpg,medium,
1022.jpg,medium,
1023.jpg,medium,
1024.jpg,medium,
1025.jpg,medium,
1026.jpg,medium,
1027.jpg,medium,
1028.jpg,medium,
1029.jpg,medium,
103.jpg,low,
1030.jpg,medium,
1031.jpg,invalid,
1032.jpg,medium,
1033.jpg,medium,
1034.jpg,low,
1036.jpg,low,
1037.jpg,low,
1038.jpg,medium,
1039.jpg,invalid,
104.jpg,medium,
1040.jpg,low,
1041.jpg,low,
1042.jpg,medium,
1043.jpg,medium,
1044.jpg,medium,
1045.jpg,medium,
1046.jpg,invalid,
1047.jpg,medium,
1048.jpg,medium,
1049.jpg,medium,
105.jpg,medium,
1050.jpg,low,
1051.jpg,medium,
1052.jpg,medium,
1053.jpg,medium,
1054.jpg,low,
1055.jpg,low,
1056.jpg,low,
1057.jpg,low,
1058.jpg,low,
1059.jpg,invalid,
106.jpeg,empty,
1060.jpg,low,
1061.jpg,low,
1062.jpg,medium,
1063.jpg,medium,
1064.jpg,medium,
1065.jpg,low,
1066.jpg,medium,
1067.jpg,invalid,
1068.jpg,medium,
1069.jpg,medium,
107.jpg,high,
1070.jpg,medium,
1071.jpg,medium,
1072.jpg,medium,
1073.jpg,medium,
1074.jpg,invalid,
1078.jpg,medium,
1079.jpg,medium,
108.jpg,high,
1080.jpg,medium,
1081.jpg,medium,
1082.jpg,medium,
1083.jpg,medium,
1084.jpg,invalid,
1085.jpg,medium,
1086.jpg,low,
1087.jpg,low,
1088.jpg,medium,
1089.jpg,medium,
109.jpg,high,
1090.jpg,low,
1091.jpg,low,
1092.jpg,low,
1093.jpg,low,
1094.jpg,low,
1095.jpg,low,
1096.jpg,low,
1097.jpg,low,
1098.jpg,low,
110.jpg,invalid,
111.jpeg,empty,
112.jpg,invalid,
113.jpeg,empty,
114.jpg,empty,
115.jpeg,empty,
116.jpg,high,
117.jpeg,high,
118.jpeg,high,
119.jpeg,high,
120.jpg,high,
121.jpg,high,
122.jpeg,high,
123.jpg,high,
124.jpeg,high,
125.jpg,high,
126.jpeg,high,
127.jpg,high,
128.jpg,high,
129.jpeg,high,
130.jpg,high,
131.jpeg,high,
132.jpg,high,
133.jpeg,high,
134.jpg,high,
135.jpeg,high,
136.jpg,high,
137.jpeg,high,
138.jpg,high,
139.jpeg,high,
140.jpeg,high,
141.jpeg,high,
142.jpg,high,
143.jpeg,high,
144.jpg,empty,
145.jpeg,high,
146.jpg,empty,
147.jpg,empty,
148.jpeg,high,
149.jpg,empty,
150.jpeg,high,
151.jpg,high,
152.jpeg,high,
153.jpg,high,
154.jpeg,high,
155.jpg,high,
156.jpeg,high,
